total_arrivals,total_exits,mean_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,throughput_vph,avg_travel_time,total_co2,total_fuel,scenario_name,num_windows,simulation_duration,throughput_mean,throughput_std,throughput_cv,delay_trend,delay_max,max_queue_N_max,max_queue_N_trend,max_queue_E_max,max_queue_E_trend,max_queue_S_max,max_queue_S_trend,max_queue_W_max,max_queue_W_trend,total_queue_max,total_queue_mean,queue_growth_rate,failure_detected,failure_reasons,performance_class,throughput_rank,delay_rank,combined_score,overall_rank
1186.0,1162.0,20.98928961748633,56.8,7.0,5.0,5.0,6.0,1162.0,78.91480206540447,185943.1481216302,60102.490486370894,d35_l1_dm0.50,13,3600.0,1072.6153846153845,315.09254768951206,0.2937609810645193,-1.161813382525577,39.58924731182796,7,-0.0989010989010988,5,-0.016483516483516505,5,-0.04395604395604394,6,-0.1593406593406593,18,10.307692307692308,-0.3186813186813185,False,['none'],acceptable,30.0,6.0,36.0,24.5
1527.0,1447.0,134.5204751921733,247.4000000000001,24.0,10.0,24.0,23.0,1447.0,185.70601243953004,477706.43022502377,154523.35989420174,d35_l1_dm0.75,13,3600.0,1335.6923076923076,409.06786809777566,0.30625905812434256,0.8595782182500853,161.02601626016258,24,-0.5824175824175818,10,0.25274725274725285,24,-0.8626373626373615,23,0.8296703296703304,70,49.84615384615385,-0.36263736263736235,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,21.0,10.0,31.0,19.0
1543.0,1433.0,187.8988267770877,250.79999999999995,25.0,25.0,26.0,25.0,1433.0,241.9292393579902,600212.2315128404,194182.64801784416,d35_l1_dm1.00,13,3600.0,1322.7692307692307,439.57849633241824,0.33231684416849483,-2.916743081046541,207.34358974358972,25,-0.5384615384615384,25,-1.1813186813186811,26,-0.7802197802197802,25,-0.10989010989010925,95,67.15384615384616,-2.6098901098901064,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,23.0,28.0,51.0,28.0
1536.0,1430.0,190.82728531855955,271.4000000000001,25.0,25.0,26.0,25.0,1430.0,241.70293706293708,604490.6807915365,195562.86525316548,d35_l1_dm1.25,13,3600.0,1320.0,420.3031872717232,0.3184115055088812,-3.480579324082925,216.17377049180328,25,-0.7692307692307688,25,-0.6428571428571421,26,-0.7912087912087904,25,-0.6318681318681311,93,69.3076923076923,-2.8351648351648335,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,24.0,29.0,53.0,30.0
1543.0,1436.0,191.3946206896552,257.4000000000001,26.0,23.0,26.0,25.0,1436.0,242.35125348189416,605295.0471283961,195826.40264628243,d35_l1_dm1.50,13,3600.0,1325.5384615384614,433.6536397748102,0.32715281552185077,-4.043671955622408,234.7243697478992,26,-0.19230769230769212,23,-0.49999999999999983,26,-0.5934065934065932,25,-0.3956043956043953,92,64.61538461538461,-1.6813186813186798,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,22.0,30.0,52.0,29.0
1186.0,1165.0,20.36659619450317,56.79999999999996,6.0,3.0,7.0,8.0,1165.0,79.45390557939915,187459.48022890772,60593.672222206456,d35_l2_dm0.50,13,3600.0,1075.3846153846155,312.97616976414787,0.29103649548883564,-1.632105963987535,44.1,6,-0.2307692307692307,3,-0.07692307692307687,7,-0.2417582417582418,8,-0.29120879120879106,24,10.846153846153847,-0.8406593406593404,False,['none'],poor,25.0,5.0,30.0,15.5
1540.0,1464.0,145.9224043715847,234.0,22.0,17.0,23.0,24.0,1464.0,197.3695355191257,509495.4046389904,164810.44434287414,d35_l2_dm0.75,13,3600.0,1351.3846153846155,403.78469862073365,0.2987933220667997,-0.3279174295821247,175.91282051282053,22,-0.5879120879120876,17,-0.15934065934065908,23,0.5000000000000006,24,-0.23076923076922976,71,46.38461538461539,-0.4780219780219762,True,"['excessive_queue', 'excessive_delay']",failure,17.0,12.0,29.0,12.0
1572.0,1470.0,177.82405405405405,248.79999999999995,24.0,25.0,24.0,24.0,1470.0,226.73659863945576,585530.2968977033,189427.93269899068,d35_l2_dm1.00,13,3600.0,1356.923076923077,402.79379369186705,0.29684349875250976,-1.6550542891684066,198.16910569105693,24,0.24175824175824195,25,0.5879120879120884,24,-0.6758241758241748,24,-0.6318681318681316,89,62.61538461538461,-0.47802197802197666,True,"['excessive_queue', 'excessive_delay']",failure,15.0,21.0,36.0,24.5
1557.0,1453.0,184.45990469707283,261.5999999999999,25.0,23.0,24.0,25.0,1453.0,232.600963523744,595500.353741286,192650.40913682705,d35_l2_dm1.25,13,3600.0,1341.2307692307693,400.66217380081304,0.2987272458941597,-2.8434879963440918,201.1639344262295,25,-0.20879120879120888,23,-0.032967032967032635,24,-1.2912087912087913,25,-0.3461538461538452,88,61.30769230769231,-1.879120879120877,True,"['excessive_queue', 'excessive_delay']",failure,20.0,26.0,46.0,26.5
1562.0,1457.0,184.8942779291553,260.79999999999995,23.0,25.0,25.0,25.0,1457.0,232.8120796156486,596252.4968226596,192896.03496461804,d35_l2_dm1.50,13,3600.0,1344.923076923077,399.8958444276866,0.29733733571035953,-3.6173178659675664,199.03697478991597,23,-0.6648351648351646,25,-0.3571428571428566,25,-1.214285714285714,25,-0.25824175824175827,88,62.38461538461539,-2.4945054945054945,True,"['excessive_queue', 'excessive_delay']",failure,19.0,27.0,46.0,26.5
