window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,156,98,1176.0,61.35140186915887,134.6,5,7,24,3,5.130898531097608,25152.932760603093,8122.09670058885,103540.60000000002
1,300.0,600.0,139,127,1524.0,90.62015503875969,185.0,12,2,12,3,4.763672739194277,32727.90553881311,10588.069630252689,114031.8
2,600.0,900.0,131,119,1428.0,102.63865546218487,190.79999999999995,12,4,19,10,4.919770271613298,32220.117706530982,10427.98203867353,69689.0
3,900.0,1200.0,127,130,1560.0,130.91612903225806,205.60000000000002,21,3,10,18,5.317623048465404,44784.15780646682,14474.696546317964,260022.00000000003
4,1200.0,1500.0,132,126,1512.0,131.8304,185.4000000000001,6,4,13,21,5.039604989803871,39336.44724580182,12730.115693425318,122232.59999999995
5,1500.0,1800.0,115,119,1428.0,155.21071428571432,242.4000000000001,21,2,23,21,5.547491929790256,41444.38358815795,13404.358241568987,181115.39999999994
6,1800.0,2100.0,123,120,1440.0,158.18666666666664,238.39999999999986,13,4,13,18,5.194341418836957,43505.55006824165,14073.079977495312,305764.7999999998
7,2100.0,2400.0,119,124,1488.0,147.33333333333334,272.5999999999999,24,2,13,24,5.156029212411871,44891.68768616224,14519.310685249891,147979.39999999994
8,2400.0,2700.0,129,118,1416.0,158.78688524590166,236.4000000000001,23,8,10,18,4.939350931117051,42570.21200024965,13773.824236434211,208262.39999999994
9,2700.0,3000.0,120,122,1464.0,144.24374999999998,212.5999999999999,7,8,22,23,4.112768201807784,43339.662896230395,14018.455799523123,237253.59999999998
10,3000.0,3300.0,133,128,1536.0,146.7730158730159,219.5999999999999,23,6,8,9,4.436318611442204,44369.59915176338,14355.65311066637,146254.99999999988
11,3300.0,3600.0,123,134,1608.0,149.5055118110236,232.19999999999982,14,6,9,25,4.877740886292729,47026.33514711956,15211.844439625811,168211.99999999994
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
