window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,201,99,1188.0,92.61636363636363,153.8,14,17,17,21,5.3085440737420235,28755.021885017693,9289.222484754973,41618.99999999999
1,300.0,600.0,127,132,1584.0,184.40615384615384,267.6,20,17,23,21,5.21431219523064,50236.0835144572,16254.946267231106,279974.6
2,600.0,900.0,127,116,1392.0,184.86984126984126,253.60000000000002,16,23,6,23,3.6043503548692524,47522.13683855527,15375.98461692591,316796.40000000014
3,900.0,1200.0,135,134,1608.0,184.40620155038758,227.20000000000005,22,18,14,23,4.260476886526367,56753.165587997,18353.538433040678,350709.19999999995
4,1200.0,1500.0,126,131,1572.0,182.15735294117647,227.20000000000005,14,24,18,5,3.8336678196869727,49532.580476089985,16031.056220866281,173743.80000000002
5,1500.0,1800.0,128,133,1596.0,182.85238095238097,229.20000000000005,7,22,25,23,4.365798304069881,55116.03901317194,17828.861419300774,245105.40000000002
6,1800.0,2100.0,133,130,1560.0,180.27692307692308,224.0,20,22,13,25,5.136396312225179,53124.42164513707,17182.51015407615,351303.59999999986
7,2100.0,2400.0,119,126,1512.0,194.528,240.0,9,21,17,21,4.613950015882302,51284.18660363187,16597.713506633434,213062.79999999996
8,2400.0,2700.0,130,126,1512.0,189.80465116279072,258.0,25,22,11,6,4.27536054739403,51797.32064794998,16756.915160142573,285173.7999999998
9,2700.0,3000.0,135,129,1548.0,179.67633587786258,222.0,7,14,20,21,4.570753811508867,50681.7936574317,16394.998612534117,183147.99999999997
10,3000.0,3300.0,128,132,1584.0,183.721875,208.80000000000018,24,6,20,14,5.300858276668725,54931.601111934535,17763.989917672414,150971.0
11,3300.0,3600.0,124,126,1512.0,195.16959999999997,273.1999999999998,13,7,25,21,3.8185532328766625,50916.96395870311,16479.666263241932,246347.39999999988
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
