window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,116,93,1116.0,31.544086021505375,85.19999999999999,7,4,4,2,5.906856926486486,22337.19342988774,7208.092192477795,22470.000000000004
1,300.0,600.0,97,92,1104.0,12.08253968253968,39.19999999999999,1,3,2,1,5.3456887030794045,14171.52046218964,4583.745188018148,7799.599999999999
2,600.0,900.0,98,96,1152.0,10.631578947368416,31.399999999999977,1,1,2,1,5.713963610875894,14545.919098262399,4705.071863266879,472.19999999999965
3,900.0,1200.0,96,99,1188.0,14.318421052631571,39.799999999999955,2,1,2,2,5.868209943629547,18332.722913917416,5922.345027319768,1020.8000000000003
4,1200.0,1500.0,99,97,1164.0,11.880555555555569,40.40000000000009,1,1,3,1,6.143333469607102,16162.890771511042,5224.947785877471,1178.1999999999998
5,1500.0,1800.0,96,99,1188.0,15.213157894736852,42.59999999999991,3,2,2,3,5.83449854699145,16944.750262776404,5476.543364691218,12337.000000000002
6,1800.0,2100.0,98,94,1128.0,20.27826086956523,55.99999999999977,4,1,8,4,5.929571656003132,15923.321070655375,5148.23341035315,921.2000000000002
7,2100.0,2400.0,93,99,1188.0,21.13493975903616,51.79999999999973,2,1,4,2,5.546667927003922,17511.52614432022,5660.928392963634,24485.400000000012
8,2400.0,2700.0,105,98,1176.0,15.776315789473703,44.0,2,2,2,4,5.832122298662242,17049.514965947645,5512.318831622065,12188.400000000005
9,2700.0,3000.0,93,101,1212.0,14.179487179487168,45.80000000000018,2,1,2,2,6.079676396354814,17670.50598974677,5709.910318915901,2998.7999999999997
10,3000.0,3300.0,100,91,1092.0,16.165217391304363,40.19999999999982,2,2,4,1,5.6659075521100295,14778.791462488483,4779.3941377716765,8612.8
11,3300.0,3600.0,95,104,1248.0,20.865789473684213,76.80000000000018,4,5,5,1,6.234347111473575,18796.346229290153,6074.979297433681,29331.800000000007
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
