window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,116,92,1104.0,34.98709677419355,95.19999999999999,2,8,4,6,6.005564359176052,22420.493244789843,7234.804739416954,94705.39999999994
1,300.0,600.0,97,94,1128.0,10.481967213114752,33.80000000000001,2,1,1,2,5.3563413546186425,14069.11154225011,4550.954616736011,4074.4
2,600.0,900.0,98,92,1104.0,14.540298507462687,43.799999999999955,1,4,1,1,5.643926302402473,14039.335065534247,4540.94688892997,10004.000000000007
3,900.0,1200.0,96,103,1236.0,15.4972972972973,39.999999999999886,4,1,2,2,6.228747596178766,18877.645620364394,6098.173258350205,6126.600000000003
4,1200.0,1500.0,99,99,1188.0,12.983333333333348,43.59999999999991,1,1,3,2,6.0931715921127205,16233.604086398194,5247.888640853306,3843.6
5,1500.0,1800.0,96,97,1164.0,19.079999999999995,60.59999999999991,2,1,2,6,6.263394452474051,16891.183603191974,5459.434788657564,25120.000000000004
6,1800.0,2100.0,98,96,1152.0,21.63283582089552,53.0,2,1,2,1,5.0117693048066565,15955.461503238226,5158.191567289401,2025.6000000000006
7,2100.0,2400.0,93,99,1188.0,15.655072463768073,50.399999999999636,3,1,1,2,5.369372512960608,16517.42795265685,5340.094871564579,1217.7999999999997
8,2400.0,2700.0,105,96,1152.0,13.202816901408472,41.59999999999991,2,1,2,2,5.788773900993359,16341.406429058135,5282.596372115558,513.6
9,2700.0,3000.0,93,101,1212.0,14.205194805194777,44.40000000000009,2,1,2,1,6.296591519233772,17671.5551188769,5710.504709444687,1856.4000000000008
10,3000.0,3300.0,100,89,1068.0,16.870422535211237,49.19999999999982,2,2,5,3,4.968499018840258,14238.56021546409,4604.822399731398,5624.999999999999
11,3300.0,3600.0,95,105,1260.0,14.930769230769242,44.0,2,3,3,1,6.272941918190772,18332.555957136497,5924.167465157168,1872.6
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
