window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,195,97,1164.0,99.18715596330274,164.39999999999998,16,12,25,8,5.133048015188646,28246.21795377325,9123.982380732827,105907.00000000006
1,300.0,600.0,128,122,1464.0,194.727868852459,243.79999999999998,10,23,18,24,5.296024738248804,49006.188396286256,15860.884364187634,392976.0000000002
2,600.0,900.0,123,129,1548.0,181.96875,230.4000000000001,4,24,22,22,5.34003241804362,51643.50329608384,16707.13872229261,245092.59999999995
3,900.0,1200.0,134,129,1548.0,185.9409090909091,247.20000000000005,18,24,21,8,4.4727417125984,53289.375548560005,17236.371339668527,396659.0000000003
4,1200.0,1500.0,126,130,1560.0,174.89384615384617,254.4000000000001,6,24,9,21,5.45754632658307,49283.712780481204,15943.148948046624,119920.6
5,1500.0,1800.0,131,131,1572.0,186.115625,278.5999999999999,5,21,9,21,4.88290302408333,52880.11632808554,17110.779745834254,254711.8
6,1800.0,2100.0,130,127,1524.0,181.11297709923667,247.79999999999995,6,21,24,21,4.786232035937629,50992.46427817236,16496.192050874208,313515.4000000001
7,2100.0,2400.0,124,127,1524.0,183.06129032258065,212.5999999999999,21,25,21,15,4.935855652629172,51324.624412116325,16606.06572784941,230326.6
8,2400.0,2700.0,129,125,1500.0,191.54920634920634,250.80000000000018,23,9,25,22,4.724978759468392,52510.167527159676,16985.613250689876,318489.4
9,2700.0,3000.0,127,129,1548.0,183.68030303030304,244.4000000000001,21,24,11,20,4.617767892557488,53077.85444111452,17169.05777486322,380270.8
10,3000.0,3300.0,129,126,1512.0,182.9512195121951,252.79999999999973,20,17,15,22,4.945715562994308,50224.274988269746,16248.72493660951,306166.0000000001
11,3300.0,3600.0,130,130,1560.0,182.84580152671754,266.5999999999999,8,5,22,23,4.864567424742378,51795.62991073189,16758.597844100816,166851.2
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
