window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,187,98,1176.0,92.7090909090909,150.40000000000003,10,10,11,19,4.527327181245461,27432.864552145576,8862.035568985515,152208.0000000001
1,300.0,600.0,134,131,1572.0,153.05384615384617,198.2,8,11,15,8,4.691772220343922,43215.531928222925,13983.973355102056,74436.79999999996
2,600.0,900.0,126,121,1452.0,170.81487603305783,261.80000000000007,9,13,23,24,4.294493275161518,45574.04624537451,14745.607163276407,231183.0
3,900.0,1200.0,130,124,1488.0,189.24409448818898,314.19999999999993,8,15,16,24,3.883613506347849,49848.319905740595,16122.140516758009,314227.60000000027
4,1200.0,1500.0,121,126,1512.0,192.20162601626015,226.0,24,8,24,21,4.851829977444672,49248.09479609731,15937.132005934276,186266.40000000002
5,1500.0,1800.0,125,129,1548.0,185.1952380952381,235.4000000000001,16,5,18,21,4.147925702939116,51709.594946347555,16727.97376050182,190213.8
6,1800.0,2100.0,125,121,1452.0,193.51999999999998,257.39999999999986,17,24,23,11,4.582719580366224,48497.37275634371,15689.462460152054,319796.20000000007
7,2100.0,2400.0,122,121,1452.0,194.25409836065577,242.0,23,18,24,24,4.503738916748775,49672.62242276175,16074.914138683178,321768.3999999998
8,2400.0,2700.0,126,123,1476.0,187.43846153846155,221.0,7,19,24,24,4.120755950513813,50321.5499391423,16276.123568682347,319008.39999999985
9,2700.0,3000.0,122,130,1560.0,182.83492063492065,271.5999999999999,23,21,17,8,4.296157334438178,49957.312018067016,16165.914317533141,305893.79999999993
10,3000.0,3300.0,125,122,1464.0,198.16910569105693,296.4000000000001,18,24,9,21,4.451908582010903,52643.93246445723,17024.974869310598,312638.99999999994
11,3300.0,3600.0,129,124,1488.0,186.11639344262295,218.5999999999999,18,25,13,18,4.635875368591779,48306.89318405575,15629.683118246963,192186.19999999995
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
