window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,194,96,1152.0,101.95849056603774,182.39999999999998,8,11,24,25,4.448307958668341,27579.228726418736,8909.005643796309,135314.40000000005
1,300.0,600.0,133,131,1572.0,178.58,226.99999999999997,16,9,24,9,4.29934809920922,48334.69758753757,15642.669452698043,287985.6
2,600.0,900.0,114,118,1416.0,197.41487603305785,309.79999999999995,22,19,22,14,3.922751361817417,47943.94136151357,15510.878304144584,319178.2
3,900.0,1200.0,136,127,1524.0,183.36589147286819,227.19999999999993,10,11,22,11,3.6716254241281314,52348.95306340631,16932.42671944002,287944.8
4,1200.0,1500.0,117,128,1536.0,183.8390243902439,258.0,9,23,11,23,4.36683117070745,48674.42892665234,15752.896584363916,249450.99999999988
5,1500.0,1800.0,118,117,1404.0,193.7310924369748,330.39999999999986,7,10,12,23,4.361134681531642,47688.08033098715,15427.034840099794,288909.39999999997
6,1800.0,2100.0,128,124,1488.0,201.1639344262295,296.5999999999999,25,22,17,22,4.5637982637279615,53437.880516708,17284.410843391935,424644.99999999994
7,2100.0,2400.0,125,118,1416.0,190.4377049180328,256.2000000000003,9,14,9,23,3.668043331877777,47234.085303395004,15285.051449069382,303242.3999999999
8,2400.0,2700.0,119,125,1500.0,195.06446280991733,241.5999999999999,12,21,21,15,4.387457465134741,52127.44614421288,16863.002501178413,126290.20000000001
9,2700.0,3000.0,117,125,1500.0,193.90625,272.5999999999999,22,21,22,23,3.5561008996248553,51041.127678482124,16515.048398216077,258641.2
10,3000.0,3300.0,129,116,1392.0,190.60504201680672,236.0,21,19,15,12,3.9747895806258655,47768.27894757039,15449.280929449873,225902.8
11,3300.0,3600.0,127,128,1536.0,192.71937984496122,246.20000000000027,10,15,8,24,3.3538021864253484,51713.266216281954,16734.8580965989,200504.39999999997
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
