window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,116,88,1056.0,39.58924731182796,66.0,3,3,5,6,4.845155465168394,21531.424994615474,6949.577822033839,40442.40000000001
1,300.0,600.0,97,99,1188.0,20.558974358974357,61.200000000000045,5,1,1,6,4.57929678763718,14471.468053934675,4681.944091650981,30945.000000000004
2,600.0,900.0,98,96,1152.0,11.964383561643839,36.39999999999998,1,1,2,1,4.558030386243256,13124.432740420187,4243.3947504579755,810.0000000000006
3,900.0,1200.0,96,101,1212.0,17.522388059701488,40.60000000000002,4,1,2,2,5.254719923474786,15751.207680177535,5090.102152648017,8109.5999999999985
4,1200.0,1500.0,99,98,1176.0,19.920000000000012,69.20000000000005,6,2,1,2,4.5160421260646,14707.214163108823,4755.066307988007,32981.19999999998
5,1500.0,1800.0,96,98,1176.0,18.811111111111106,48.399999999999864,4,4,2,1,4.880085070002296,14792.67710717116,4781.826079786772,10396.600000000002
6,1800.0,2100.0,98,96,1152.0,24.30361445783133,57.600000000000136,3,5,2,2,4.048481167342338,14946.73334664541,4831.812927362994,29677.200000000004
7,2100.0,2400.0,93,99,1188.0,20.682857142857138,62.20000000000027,4,1,2,2,4.348828114940894,14680.322106359497,4746.608731999563,9369.600000000004
8,2400.0,2700.0,105,95,1140.0,16.683783783783763,41.59999999999991,2,2,3,2,4.388238883553868,14743.54220783513,4766.5535128163365,3776.5999999999995
9,2700.0,3000.0,93,102,1224.0,14.733333333333302,47.80000000000018,2,2,2,2,5.160893984133713,16146.830473796263,5216.885703990198,1398.2000000000003
10,3000.0,3300.0,100,86,1032.0,18.14794520547945,45.0,2,1,4,5,3.4043000298542108,11163.511309067697,3612.5213033259474,7825.599999999997
11,3300.0,3600.0,95,104,1248.0,23.422784810126608,58.80000000000018,7,4,3,4,4.810164167994568,18089.70036696835,5845.648318197365,29041.60000000001
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
