window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,116,90,1080.0,44.099999999999994,94.8,6,3,7,8,4.711512343104392,20692.584119006184,6678.919598256643,80824.2
1,300.0,600.0,97,96,1152.0,16.65128205128205,60.39999999999998,3,2,2,2,3.5731673235877985,13935.730484367346,4508.092953706947,29392.200000000023
2,600.0,900.0,98,96,1152.0,15.405405405405418,45.39999999999998,5,2,4,1,4.53950380727619,13900.111580045457,4495.076887376262,5343.8
3,900.0,1200.0,96,99,1188.0,24.32467532467532,56.0,5,1,1,6,4.901714368252477,16785.507277485267,5424.178203802757,36426.79999999998
4,1200.0,1500.0,99,99,1188.0,21.60533333333334,66.40000000000009,6,3,1,2,4.850101239514842,15412.135693974626,4982.439502682536,32082.4
5,1500.0,1800.0,96,98,1176.0,16.865000000000006,45.0,4,3,2,1,4.79659322969423,15281.311763472782,4939.981936986882,14110.80000000001
6,1800.0,2100.0,98,97,1164.0,21.566666666666695,56.40000000000009,2,2,2,3,4.67071828743666,14784.365047185414,4779.670685375148,1827.0000000000002
7,2100.0,2400.0,93,100,1200.0,15.794871794871801,48.59999999999991,3,2,2,1,4.402082948177171,14928.83846600446,4827.146343294582,1535.6000000000008
8,2400.0,2700.0,105,95,1140.0,15.20277777777782,40.59999999999991,6,2,2,3,4.872852997981068,14486.105813501217,4683.3695537439335,2864.399999999999
9,2700.0,3000.0,93,100,1200.0,17.19999999999998,49.19999999999982,6,2,2,2,4.678169906619388,16089.414528459441,5199.570479386401,12670.000000000016
10,3000.0,3300.0,100,92,1104.0,14.927027027027007,42.59999999999991,3,3,1,1,4.268935672459407,13168.184346265032,4258.890676690039,1926.1999999999996
11,3300.0,3600.0,95,103,1236.0,17.595180722891556,42.59999999999991,3,2,3,3,4.871036453653356,16481.1692840448,5326.71772816474,20206.40000000001
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
