window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,163,100,1200.0,60.19633027522936,96.6,12,3,4,12,5.453050524058679,26519.55450656756,8564.041134024525,38831.799999999996
1,300.0,600.0,135,117,1404.0,105.52166666666668,190.20000000000005,15,7,24,20,4.612584594397504,31325.224117827405,10134.57931031348,293916.8000000001
2,600.0,900.0,125,125,1500.0,136.57118644067796,213.80000000000007,5,1,15,23,5.283853859164417,39578.5171108031,12808.22129240813,207042.59999999995
3,900.0,1200.0,125,126,1512.0,156.1967741935484,258.19999999999993,18,3,22,22,4.211018548399005,46912.990522744665,15166.895237041397,339617.7999999998
4,1200.0,1500.0,134,124,1488.0,150.04754098360655,203.0,12,7,17,25,4.928121343483831,42459.73563849219,13737.004490273473,172890.20000000004
5,1500.0,1800.0,121,128,1536.0,144.24590163934425,218.4000000000001,22,3,11,24,4.383549171113412,43407.98134363215,14045.51135418485,159433.4
6,1800.0,2100.0,121,120,1440.0,154.96302521008403,258.2000000000003,24,2,18,22,4.4780288646396045,43007.849168113564,13907.661621335394,228464.40000000002
7,2100.0,2400.0,130,126,1512.0,142.98095238095237,270.0,5,2,20,24,4.982580838227286,46200.04060193728,14942.409643012177,319773.2000000002
8,2400.0,2700.0,119,126,1512.0,157.14871794871797,276.1999999999998,9,6,23,24,5.333761053531176,43526.08303573703,14085.348215865079,295061.5999999998
9,2700.0,3000.0,127,120,1440.0,147.40327868852458,226.39999999999964,24,7,23,12,4.91621914513202,44064.729321198625,14245.568690045553,210732.19999999998
10,3000.0,3300.0,122,128,1536.0,154.8403225806452,314.5999999999999,25,1,5,22,4.670788682321631,44177.669587227865,14297.964466765963,348222.40000000014
11,3300.0,3600.0,129,122,1464.0,154.4983606557377,247.4000000000001,7,9,5,25,5.041722898658947,44482.2766410924,14384.982921349743,211121.79999999996
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
