window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,195,93,1116.0,98.4640776699029,168.0,24,24,23,19,5.728030966074778,28091.835968900676,9073.516172929541,222007.80000000008
1,300.0,600.0,131,125,1500.0,189.7348484848485,235.39999999999998,24,20,23,21,4.467008168270585,51307.38630587937,16599.75096681003,704002.4000000005
2,600.0,900.0,130,131,1572.0,178.1968992248062,212.80000000000007,22,10,23,20,4.791428489000188,52191.07163223117,16887.904873168438,288857.7999999999
3,900.0,1200.0,133,136,1632.0,173.27175572519081,245.79999999999995,15,24,5,26,5.836617644865655,56053.21105865793,18127.489892891994,251666.59999999983
4,1200.0,1500.0,120,122,1464.0,199.14375,275.20000000000005,24,18,6,23,4.8815539022403325,49261.696259233075,15946.23896995194,452288.9999999998
5,1500.0,1800.0,131,128,1536.0,180.4204724409449,236.4000000000001,19,5,25,5,5.5690194007902685,54927.09293833043,17759.626121627232,274979.19999999984
6,1800.0,2100.0,136,138,1656.0,180.9795620437956,262.79999999999995,11,23,17,21,5.7990090195537904,55656.80615887509,18008.866842133393,249676.60000000015
7,2100.0,2400.0,124,116,1392.0,193.66129032258064,257.0,23,21,23,8,4.09794224805898,47868.13344973506,15485.241426527551,459047.2000000002
8,2400.0,2700.0,126,136,1632.0,178.54000000000002,255.60000000000036,5,23,23,25,4.69578885991226,55883.73100364877,18079.67960634304,388350.3999999999
9,2700.0,3000.0,127,132,1584.0,189.31406249999998,234.60000000000036,23,20,23,24,5.643871836519192,56965.23704842345,18427.5987570255,600600.6000000001
10,3000.0,3300.0,134,130,1560.0,180.3234375,239.80000000000018,23,19,7,23,5.57676838772386,55279.69763306943,17879.26997165656,322467.59999999986
11,3300.0,3600.0,126,124,1488.0,191.7590551181102,244.0,26,20,25,20,5.210859243678015,49921.51363920028,16149.604406307242,391866.2000000001
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
