window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,194,94,1128.0,89.24909090909091,151.0,12,14,23,16,5.105818403182136,27554.773565209467,8898.394183610164,191066.19999999992
1,300.0,600.0,130,132,1584.0,156.52089552238806,246.2,21,4,23,6,5.270012891687889,46923.734691372,15182.766198081612,392595.3999999999
2,600.0,900.0,130,132,1584.0,151.64094488188977,264.0,15,4,23,23,5.4252617424189875,48038.90630436678,15544.303949997036,169650.0
3,900.0,1200.0,142,136,1632.0,163.97246376811594,246.0,6,18,23,20,5.683772856196618,54515.19695614615,17628.087303110453,424435.0
4,1200.0,1500.0,132,130,1560.0,166.01085271317828,232.79999999999995,9,22,23,24,5.203365294651942,47938.710443630436,15513.530643570586,230673.60000000012
5,1500.0,1800.0,134,137,1644.0,181.19854014598542,251.0,21,6,12,19,5.26499402725013,58295.151766351904,18854.476771782567,266626.79999999993
6,1800.0,2100.0,126,127,1524.0,171.17593984962406,242.4000000000001,24,9,23,5,4.390110520536564,50682.20880437776,16395.232205947043,165384.4
7,2100.0,2400.0,126,129,1548.0,179.70793650793652,304.60000000000014,23,11,20,24,5.265298683512984,53474.08917874319,17294.151018312226,563709.2
8,2400.0,2700.0,133,127,1524.0,155.96567164179103,236.4000000000001,23,3,18,23,3.624796444596862,47112.77353606134,15245.370943375441,349036.5999999999
9,2700.0,3000.0,134,138,1656.0,151.40147058823527,227.5999999999999,6,13,5,23,4.152720171007802,53158.65832181224,17196.709589146118,301092.80000000016
10,3000.0,3300.0,120,135,1620.0,146.05806451612904,267.5999999999999,26,3,23,23,5.62698231335618,47600.97800225092,15394.045104828947,146486.19999999998
11,3300.0,3600.0,133,123,1476.0,176.67441860465115,262.8000000000002,24,15,22,17,5.44790033661932,49122.10329434665,15894.633235953363,795820.2
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
