window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,172,61,732.0,86.25750000000001,211.8,25,17,26,10,3.0353847829173,20603.552756481105,6647.203788925269,39788.4
1,300.0,600.0,124,123,1476.0,199.3821138211382,290.6,21,17,8,19,2.280927585868618,49947.440191454334,16170.687180545387,1267580.2
2,600.0,900.0,119,131,1572.0,204.21587301587303,250.79999999999995,8,24,22,23,2.768992863410242,54326.354874445606,17582.431993614802,340968.2000000001
3,900.0,1200.0,127,124,1488.0,194.0285714285714,226.20000000000005,6,24,22,24,2.6027921429770067,52962.05194058008,17127.466730200398,359586.79999999993
4,1200.0,1500.0,124,134,1608.0,180.88730158730158,217.79999999999995,15,23,6,19,4.5387656044824025,49427.47761026464,15998.372040682127,83923.39999999997
5,1500.0,1800.0,129,112,1344.0,195.05,266.5999999999999,24,23,25,23,3.012579239693803,47410.19139978702,15326.42315388325,478785.2000000001
6,1800.0,2100.0,131,134,1608.0,188.80615384615385,235.4000000000001,21,7,22,22,2.2698827617915294,55183.98313654192,17859.193459617683,368633.1999999999
7,2100.0,2400.0,118,130,1560.0,191.672,241.4000000000001,24,7,7,23,3.954999594097827,49978.8390234803,16175.046170280288,340359.4
8,2400.0,2700.0,131,119,1428.0,193.22764227642276,230.39999999999964,8,16,19,22,3.139057642162227,49813.41671410062,16108.903636822,326205.8
9,2700.0,3000.0,124,124,1488.0,190.65245901639346,252.0,23,5,22,24,3.5211440900363815,48675.72848826549,15751.471916030412,207184.39999999994
10,3000.0,3300.0,121,127,1524.0,188.14488188976372,243.20000000000027,18,25,6,24,3.1641848469125304,51921.14312508694,16795.235681507762,311400.80000000016
11,3300.0,3600.0,123,114,1368.0,207.34358974358975,287.1999999999998,16,11,22,25,3.4025894182187955,48471.37855779274,15683.19709647845,292246.19999999995
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
