window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,158,84,1008.0,71.98556701030928,145.79999999999998,19,5,17,10,3.5296110132939593,24601.427034843695,7945.292783822319,70362.20000000001
1,300.0,600.0,119,122,1464.0,111.63529411764706,243.59999999999997,22,2,24,3,4.415380651125021,33094.37608819133,10706.987500108939,319520.19999999995
2,600.0,900.0,131,123,1476.0,108.24262295081967,232.79999999999995,6,2,24,3,2.427569943167608,34194.72103994004,11065.451470447286,131217.99999999994
3,900.0,1200.0,111,122,1464.0,121.75726495726497,261.20000000000005,23,2,24,4,4.018434629258183,37300.96609956543,12058.408211362872,474650.2000000002
4,1200.0,1500.0,130,128,1536.0,122.11478260869565,211.5999999999999,15,2,6,19,4.677583158964866,35737.61693674319,11566.823629593733,191279.2000000001
5,1500.0,1800.0,134,120,1440.0,145.46341463414635,196.4000000000001,6,8,17,21,4.334733368925088,39748.605552015644,12856.232081170481,174811.99999999994
6,1800.0,2100.0,131,129,1548.0,144.8523076923077,222.20000000000027,6,7,22,21,3.456923798445211,43827.98071586901,14175.28893187146,146873.00000000003
7,2100.0,2400.0,121,118,1416.0,146.0888888888889,232.60000000000014,24,8,7,21,2.8412266121980694,40878.46700992733,13224.644936462426,200680.19999999998
8,2400.0,2700.0,123,124,1488.0,161.02601626016258,250.4000000000001,23,1,22,10,3.540318949840929,42992.64471790985,13909.574817520464,321731.2
9,2700.0,3000.0,121,131,1572.0,153.4288,255.79999999999973,12,10,22,22,4.325231442253079,47260.05876185694,15284.591279988226,469262.7999999999
10,3000.0,3300.0,120,117,1404.0,154.42758620689654,251.19999999999982,24,8,15,23,4.397353417916386,40108.50516591009,12972.807805054716,287231.4
11,3300.0,3600.0,128,129,1548.0,157.6661417322835,284.5999999999999,9,8,17,22,4.149911472056463,43812.49912191947,14179.89809401498,354124.5999999999
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
