window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,193,99,1188.0,90.34311926605504,147.79999999999998,14,15,23,22,6.020027635963413,29504.806183708537,9529.899089625857,169472.99999999997
1,300.0,600.0,130,117,1404.0,172.04651162790697,239.60000000000002,21,24,24,24,5.343808719980999,43700.823762060354,14141.25542397196,528065.6000000001
2,600.0,900.0,131,131,1572.0,174.88333333333335,220.79999999999995,6,6,21,23,5.205504502244599,51970.88004776529,16818.49944257083,233091.79999999984
3,900.0,1200.0,144,147,1764.0,168.04444444444445,251.39999999999998,13,8,21,19,5.58689925132338,59027.75232368376,19087.06816841496,227701.59999999992
4,1200.0,1500.0,124,126,1512.0,171.2753846153846,215.0,11,24,6,12,4.971173872117783,47274.500673292874,15299.261106734199,85812.79999999997
5,1500.0,1800.0,131,129,1548.0,189.8969230769231,295.60000000000014,13,14,25,25,5.4425909346370185,55338.75807990465,17898.117895114876,556594.2000000002
6,1800.0,2100.0,138,137,1644.0,171.0905109489051,210.80000000000018,22,6,25,12,5.575395915931034,54103.05502608944,17504.280053187795,232053.8
7,2100.0,2400.0,129,128,1536.0,177.253125,226.5999999999999,22,22,24,19,4.928394790274695,51577.09801381851,16686.662409180608,435980.40000000026
8,2400.0,2700.0,132,136,1632.0,178.52740740740745,210.0,20,24,19,18,5.691465610660792,55356.15153726189,17906.32397046099,386015.3999999998
9,2700.0,3000.0,130,122,1464.0,176.98461538461532,218.19999999999982,13,19,17,23,4.668785423337849,49340.38456036841,15960.567713579236,165529.59999999995
10,3000.0,3300.0,127,130,1560.0,188.3168,285.8000000000002,24,22,22,22,5.7880436019409345,55265.18719873039,17872.184657877096,603039.6000000002
11,3300.0,3600.0,131,130,1560.0,183.15590551181106,243.60000000000036,20,24,17,23,5.562565339614754,52100.80157483003,16864.292643260385,420537.2000000002
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
