window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,163,94,1128.0,72.69714285714285,130.0,10,5,8,13,4.341879543774569,24345.35652074766,7861.476593608424,138890.80000000008
1,300.0,600.0,137,129,1548.0,104.8864,159.00000000000006,14,2,8,7,4.486135475664036,33647.04672147826,10887.529794925029,26495.199999999983
2,600.0,900.0,130,120,1440.0,136.94710743801656,201.60000000000002,22,8,9,10,4.022825586010124,38759.51543934934,12537.072971059606,92066.6
3,900.0,1200.0,123,129,1548.0,147.7265625,192.20000000000005,8,8,12,22,4.257900578446581,44692.82862689203,14455.414450819366,66055.19999999997
4,1200.0,1500.0,125,125,1500.0,151.95666666666665,243.5999999999999,8,2,6,24,4.0475431364945855,41414.84944136565,13397.914837426893,115834.99999999993
5,1500.0,1800.0,135,124,1488.0,153.77235772357724,222.0,7,17,6,23,4.040808203458058,43707.08423886896,14140.83273304555,192542.60000000003
6,1800.0,2100.0,118,119,1428.0,175.91282051282053,234.60000000000014,22,17,21,11,4.225136386210339,45157.137000230796,14609.7292148966,293693.80000000005
7,2100.0,2400.0,118,121,1452.0,165.95447154471543,241.19999999999982,22,10,10,24,4.238200656382218,46338.95143253574,14988.191965496568,395826.79999999993
8,2400.0,2700.0,126,125,1500.0,165.09120000000001,217.19999999999982,9,10,21,7,4.226798977861451,45708.79838609643,14786.908344968508,268551.79999999993
9,2700.0,3000.0,122,127,1524.0,163.65354330708664,256.8000000000002,20,12,15,24,3.2219430385650214,45418.10223625441,14693.883274383823,219545.6
10,3000.0,3300.0,122,123,1476.0,151.1378151260504,265.1999999999998,7,3,23,22,4.118594199675288,42311.954853641226,13693.8352684886,258751.20000000007
11,3300.0,3600.0,121,128,1536.0,151.58778625954196,217.19999999999982,6,2,16,10,4.142784292087361,45259.425532573725,14639.547897932574,174570.20000000007
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
