window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,194,95,1140.0,99.18846153846154,156.4,16,24,23,23,5.968320014584026,28821.945353783856,9309.02689119443,234946.8000000001
1,300.0,600.0,127,122,1464.0,191.89147286821705,241.60000000000002,23,24,11,23,5.270547470618366,49817.12628813125,16121.385091744305,556500.9999999998
2,600.0,900.0,128,130,1560.0,182.66356589147287,247.19999999999993,13,21,5,23,4.804849481584201,52278.84684841833,16919.045203196187,491756.00000000023
3,900.0,1200.0,137,129,1548.0,187.7813953488372,266.80000000000007,24,23,23,13,5.334179889024869,55593.09396087403,17975.440506883362,640851.8000000003
4,1200.0,1500.0,127,123,1476.0,182.32592592592593,277.79999999999995,5,26,13,25,3.9212331160153453,49265.21659034027,15937.511569989456,398347.2
5,1500.0,1800.0,141,149,1788.0,169.04963503649634,233.20000000000005,21,23,5,5,4.8509338034808245,62211.444732466494,20127.25879249256,354463.7999999999
6,1800.0,2100.0,134,134,1608.0,174.2656934306569,237.80000000000018,17,23,14,23,4.0766188425608405,53989.82972585662,17468.100508113923,221855.20000000007
7,2100.0,2400.0,130,133,1596.0,175.95772357723575,280.8000000000002,16,23,12,23,5.72339178940314,53365.848863103034,17261.911358506994,352723.6
8,2400.0,2700.0,136,129,1548.0,187.48321167883216,300.4000000000001,17,12,17,24,5.479452437835969,55140.265784221214,17835.247306932513,375220.20000000024
9,2700.0,3000.0,120,126,1512.0,189.33492063492062,252.0,6,24,18,23,4.91663090166287,50672.89143709355,16396.061482223737,324244.80000000005
10,3000.0,3300.0,137,133,1596.0,176.20888888888888,219.80000000000018,24,6,24,5,4.735975750160908,53661.48322034354,17366.371591432944,363047.1999999998
11,3300.0,3600.0,129,135,1620.0,175.8152671755725,240.0,26,5,24,13,5.692958562097038,56517.439021952974,18275.41231871201,276777.4000000001
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
