window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,193,96,1152.0,102.32815533980582,162.8,8,11,23,25,4.7826229788405685,27779.32277628958,8973.980842646604,140452.0
1,300.0,600.0,125,119,1428.0,191.89919999999998,259.2,23,5,24,8,3.923138714257901,46609.573288518084,15083.594472165401,427226.20000000007
2,600.0,900.0,118,122,1464.0,197.1983606557377,276.00000000000006,21,23,18,13,3.8717381186390565,49689.13845123788,16080.485778844988,363183.99999999965
3,900.0,1200.0,128,123,1476.0,190.98095238095237,269.0,18,11,24,13,3.363059712212567,52345.40522722706,16927.100489017714,304503.8
4,1200.0,1500.0,123,128,1536.0,190.53968253968253,224.39999999999986,9,23,14,21,3.782580158530776,49814.57260927098,16120.300375425388,217903.20000000004
5,1500.0,1800.0,122,124,1488.0,186.76440677966102,247.20000000000005,15,25,6,22,4.774006871738627,50067.817836109316,16195.794668938675,104385.80000000005
6,1800.0,2100.0,133,120,1440.0,194.23281250000002,271.4000000000001,16,15,16,22,3.3754105049793472,50886.31002861367,16461.152464900628,532827.8000000004
7,2100.0,2400.0,116,130,1560.0,183.66190476190476,214.80000000000018,8,23,23,18,3.895430901301952,48517.45657931257,15708.501876274415,129024.39999999998
8,2400.0,2700.0,125,123,1476.0,199.03697478991594,259.4000000000001,23,16,25,24,4.364942908761499,52839.02352873029,17084.112626080456,222303.19999999995
9,2700.0,3000.0,120,123,1476.0,198.63174603174602,279.5999999999999,16,10,23,22,4.576021691099033,50962.5790118959,16489.335632794424,421025.5999999999
10,3000.0,3300.0,131,121,1452.0,180.3349593495935,228.19999999999982,9,23,7,14,3.6993337328305285,47770.95732669457,15451.97567919119,162930.19999999998
11,3300.0,3600.0,128,128,1536.0,189.14444444444447,261.5999999999999,15,9,9,22,4.138502225214729,49673.47184302362,16076.07036856093,178280.79999999996
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
