window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,196,96,1152.0,95.37196261682243,145.8,16,10,25,23,5.086222891817723,27808.956114012264,8982.087852564042,114607.00000000003
1,300.0,600.0,132,126,1512.0,182.19846153846154,275.0,23,20,24,7,5.361319743939663,48854.632084220866,15810.295028598124,431533.5999999999
2,600.0,900.0,121,128,1536.0,183.90879999999999,251.19999999999993,24,8,17,22,4.963438590164968,50098.208475823485,16210.831469785999,178663.19999999995
3,900.0,1200.0,134,131,1572.0,177.64233576642334,223.39999999999986,21,9,23,6,4.3466336227913,53968.33163613998,17452.0698275237,373866.4000000001
4,1200.0,1500.0,132,126,1512.0,178.39842519685038,233.39999999999998,20,24,10,6,3.844013680058487,47003.80752303353,15213.253023826312,141023.99999999994
5,1500.0,1800.0,124,131,1572.0,187.4606557377049,218.60000000000014,22,22,21,12,4.769453754273056,54664.03109875999,17678.099167894296,242136.9999999999
6,1800.0,2100.0,124,130,1560.0,185.03283582089554,249.79999999999995,23,21,20,10,4.187738429395124,52551.1617974378,17005.90783051943,240277.0
7,2100.0,2400.0,135,129,1548.0,179.85826771653544,219.79999999999973,9,14,16,22,4.168176980903776,52050.644929594535,16835.367414777753,171917.39999999997
8,2400.0,2700.0,124,122,1464.0,194.33833333333334,246.0,10,21,21,24,5.270592353262851,51465.70821325284,16646.397809817798,332116.99999999994
9,2700.0,3000.0,124,130,1560.0,186.25757575757575,258.39999999999964,13,22,8,24,5.142565998551692,54078.76154174519,17494.70020446331,453580.3999999998
10,3000.0,3300.0,135,122,1464.0,179.89365079365083,228.19999999999982,11,25,22,13,4.679428198021374,48864.590714261096,15808.902833578039,177810.3999999999
11,3300.0,3600.0,126,132,1584.0,184.98749999999998,228.20000000000027,5,26,24,17,5.012745310551032,51253.6832929405,16587.357286399518,161938.60000000003
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
