window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,195,95,1140.0,95.7695238095238,179.8,22,24,18,22,5.324004579946598,27698.65453395676,8947.952591537782,51655.0
1,300.0,600.0,134,130,1560.0,185.90746268656716,248.39999999999998,12,6,23,14,4.76045246979354,51656.46815086249,16714.910624908036,348860.8000000001
2,600.0,900.0,127,127,1524.0,178.23149606299214,251.0,14,9,24,20,5.105661266652439,49415.07924300007,15991.590123750535,123357.99999999996
3,900.0,1200.0,137,135,1620.0,184.46474820143885,284.0,5,17,24,19,4.064985639707387,57165.759871957256,18487.02169051882,266272.99999999994
4,1200.0,1500.0,134,137,1644.0,176.3127819548872,227.39999999999986,13,24,11,23,4.933699454033556,50905.50075185169,16470.91261286303,109539.0
5,1500.0,1800.0,116,121,1452.0,194.4621848739496,244.20000000000005,25,24,25,23,4.969746977243358,50462.01034628472,16324.856051830226,419831.0
6,1800.0,2100.0,135,130,1560.0,181.87596899224806,261.79999999999995,19,22,6,21,4.813687931133576,51759.86863005073,16748.659572542652,363944.99999999994
7,2100.0,2400.0,118,120,1440.0,199.48760330578514,276.2000000000003,24,16,24,23,4.395098426140951,50507.96950340088,16339.244610297963,467681.0
8,2400.0,2700.0,134,129,1548.0,190.50441176470588,276.0,9,8,22,25,4.079745807543131,54514.344145011855,17636.27088705564,506886.6000000002
9,2700.0,3000.0,133,138,1656.0,172.55555555555554,192.5999999999999,6,15,12,7,4.266720410319209,54641.59179390444,17673.90853478772,82699.39999999998
10,3000.0,3300.0,127,125,1500.0,183.22222222222229,298.8000000000002,24,4,24,6,4.77215736452576,49288.481905588895,15943.198951432454,161965.80000000005
11,3300.0,3600.0,128,132,1584.0,184.75267175572517,281.1999999999998,23,9,6,15,3.9447959482651,52182.90747406817,16887.55581949085,210372.2000000002
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
