window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,116,94,1128.0,29.775555555555552,54.99999999999999,4,2,2,1,5.766031159512155,21590.92990881114,6967.767793054123,8998.6
1,300.0,600.0,97,92,1104.0,11.725,33.80000000000001,3,3,2,1,5.208615679926956,12930.863456933897,4182.598477909282,1834.6000000000006
2,600.0,900.0,98,96,1152.0,17.092957746478877,47.0,5,3,1,3,5.059158664118031,14339.306053735305,4637.03774614879,21163.20000000001
3,900.0,1200.0,96,99,1188.0,17.244736842105265,40.799999999999955,2,1,4,4,5.557149804755137,16434.246629900823,5310.485628911025,8095.999999999997
4,1200.0,1500.0,99,101,1212.0,12.494736842105274,41.0,1,1,1,2,5.810508478706594,15485.458257196397,5006.237273645608,2731.600000000001
5,1500.0,1800.0,96,98,1176.0,14.486956521739145,44.799999999999955,2,3,1,1,5.758304177503918,15318.591105163063,4951.374509740272,763.8
6,1800.0,2100.0,98,93,1116.0,22.09714285714287,56.80000000000018,2,2,5,1,5.159665388911457,14446.940600497897,4670.442152527348,629.5999999999997
7,2100.0,2400.0,93,102,1224.0,19.65294117647059,64.40000000000009,3,2,1,5,4.944156728730648,16034.196813516653,5184.3794028784605,37817.4
8,2400.0,2700.0,105,94,1128.0,19.42465753424658,51.80000000000018,4,3,2,2,5.2163602369137205,15387.150825016262,4974.825582495947,20320.600000000006
9,2700.0,3000.0,93,101,1212.0,17.048192771084352,45.20000000000027,5,1,1,2,5.695652235734313,16944.42036419512,5475.382572754927,18268.800000000003
10,3000.0,3300.0,100,89,1068.0,18.93623188405795,39.59999999999991,2,2,5,2,3.663099120337888,13688.142832989794,4426.481006958243,16914.2
11,3300.0,3600.0,95,104,1248.0,16.440000000000005,42.79999999999973,1,2,4,2,5.3500168994071515,17175.181756480095,5550.858776494273,4319.6
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
