window_id,start_time,end_time,arrivals,exits,throughput_vph,avg_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,avg_speed_ring,total_co2,total_fuel,total_waiting_time
0,0.0,300.0,198,95,1140.0,97.39449541284404,157.2,24,9,26,20,5.728494930931515,29102.289951961084,9400.45474145671,159127.59999999998
1,300.0,600.0,132,129,1548.0,177.0656488549618,257.79999999999995,16,16,24,13,5.067660997997842,49245.7897544208,15934.966857860203,279376.1999999999
2,600.0,900.0,124,130,1560.0,179.740625,225.5999999999999,10,24,22,21,5.719007560420115,53401.522068514605,17277.013662704085,190979.99999999997
3,900.0,1200.0,137,133,1596.0,179.26917293233086,277.0,23,22,22,15,5.765287644706142,55248.0626996701,17866.60622282501,447728.99999999994
4,1200.0,1500.0,131,133,1596.0,179.68124999999998,235.5999999999999,10,24,4,23,5.97338643290251,51920.03863429339,16804.304446860413,330366.8
5,1500.0,1800.0,119,118,1416.0,192.96220472440945,250.60000000000014,25,25,21,24,5.523184850760448,51142.11644241454,16539.565002630658,538827.2
6,1800.0,2100.0,140,141,1692.0,170.70285714285714,207.79999999999995,21,9,6,8,5.319798828321226,55793.82347270682,18054.36497735679,384878.2000000003
7,2100.0,2400.0,130,124,1488.0,172.72698412698415,248.4000000000001,11,6,22,22,4.647731525653644,48972.27464144644,15839.990353625697,196013.80000000005
8,2400.0,2700.0,128,133,1596.0,183.98181818181817,276.0,23,9,21,5,5.500308837837182,54614.60938938894,17667.821090001744,384941.80000000034
9,2700.0,3000.0,139,138,1656.0,171.83235294117648,246.19999999999982,8,22,23,12,5.740242771124928,55896.80338382927,18080.297934721948,299246.39999999985
10,3000.0,3300.0,124,122,1464.0,194.23770491803282,265.4000000000001,14,23,25,24,5.789276378521091,52897.52108419116,17109.517572275894,361513.4
11,3300.0,3600.0,123,125,1500.0,182.11520000000002,248.5999999999999,10,22,24,17,5.526977634346878,49696.17138829228,16083.245565823274,416720.4000000001
12,3600.0,3600.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
